,script_timestamp,nvidia_timestamp,gpu_index,gpu_name,power_draw_watts,memory_used_MiB,utilization_percent
0,2026-05-18 14:04:54.162378,2026/05/18 14:04:54.203,0,NVIDIA A100-SXM-64GB,61.21,0,0
1,2026-05-18 14:04:54.162378,2026/05/18 14:04:54.206,1,NVIDIA A100-SXM-64GB,59.61,0,0
2,2026-05-18 14:04:54.162378,2026/05/18 14:04:54.210,2,NVIDIA A100-SXM-64GB,60.62,0,0
3,2026-05-18 14:04:54.162378,2026/05/18 14:04:54.212,3,NVIDIA A100-SXM-64GB,60.16,0,0
4,2026-05-18 14:04:59.264015,2026/05/18 14:04:59.303,0,NVIDIA A100-SXM-64GB,61.15,0,0
5,2026-05-18 14:04:59.264015,2026/05/18 14:04:59.306,1,NVIDIA A100-SXM-64GB,59.61,0,0
6,2026-05-18 14:04:59.264015,2026/05/18 14:04:59.308,2,NVIDIA A100-SXM-64GB,60.62,0,0
7,2026-05-18 14:04:59.264015,2026/05/18 14:04:59.311,3,NVIDIA A100-SXM-64GB,60.16,0,0
8,2026-05-18 14:05:04.318723,2026/05/18 14:05:04.358,0,NVIDIA A100-SXM-64GB,61.09,0,0
9,2026-05-18 14:05:04.318723,2026/05/18 14:05:04.360,1,NVIDIA A100-SXM-64GB,59.55,0,0
10,2026-05-18 14:05:04.318723,2026/05/18 14:05:04.363,2,NVIDIA A100-SXM-64GB,60.56,0,0
11,2026-05-18 14:05:04.318723,2026/05/18 14:05:04.366,3,NVIDIA A100-SXM-64GB,60.10,0,0
12,2026-05-18 14:05:09.374324,2026/05/18 14:05:09.413,0,NVIDIA A100-SXM-64GB,61.15,0,0
13,2026-05-18 14:05:09.374324,2026/05/18 14:05:09.415,1,NVIDIA A100-SXM-64GB,59.55,0,0
14,2026-05-18 14:05:09.374324,2026/05/18 14:05:09.418,2,NVIDIA A100-SXM-64GB,60.62,0,0
15,2026-05-18 14:05:09.374324,2026/05/18 14:05:09.420,3,NVIDIA A100-SXM-64GB,60.10,0,0
16,2026-05-18 14:05:14.428192,2026/05/18 14:05:14.467,0,NVIDIA A100-SXM-64GB,61.15,0,0
17,2026-05-18 14:05:14.428192,2026/05/18 14:05:14.469,1,NVIDIA A100-SXM-64GB,59.55,0,0
18,2026-05-18 14:05:14.428192,2026/05/18 14:05:14.473,2,NVIDIA A100-SXM-64GB,60.88,0,0
19,2026-05-18 14:05:14.428192,2026/05/18 14:05:14.475,3,NVIDIA A100-SXM-64GB,60.10,0,0
20,2026-05-18 14:05:19.483145,2026/05/18 14:05:19.522,0,NVIDIA A100-SXM-64GB,61.15,0,0
21,2026-05-18 14:05:19.483145,2026/05/18 14:05:19.524,1,NVIDIA A100-SXM-64GB,59.55,0,0
22,2026-05-18 14:05:19.483145,2026/05/18 14:05:19.527,2,NVIDIA A100-SXM-64GB,60.62,0,0
23,2026-05-18 14:05:19.483145,2026/05/18 14:05:19.530,3,NVIDIA A100-SXM-64GB,60.16,0,0
24,2026-05-18 14:05:24.539522,2026/05/18 14:05:24.580,0,NVIDIA A100-SXM-64GB,61.15,0,0
25,2026-05-18 14:05:24.539522,2026/05/18 14:05:24.582,1,NVIDIA A100-SXM-64GB,59.55,0,0
26,2026-05-18 14:05:24.539522,2026/05/18 14:05:24.585,2,NVIDIA A100-SXM-64GB,60.95,0,0
27,2026-05-18 14:05:24.539522,2026/05/18 14:05:24.590,3,NVIDIA A100-SXM-64GB,60.10,0,0
