,script_timestamp,nvidia_timestamp,gpu_index,gpu_name,power_draw_watts,memory_used_MiB,utilization_percent
0,2026-05-29 11:32:53.528453,2026/05/29 11:32:53.590,0,NVIDIA A100-SXM-64GB,64.46,0,0
1,2026-05-29 11:32:53.528453,2026/05/29 11:32:53.593,1,NVIDIA A100-SXM-64GB,60.64,0,0
2,2026-05-29 11:32:53.528453,2026/05/29 11:32:53.597,2,NVIDIA A100-SXM-64GB,60.37,0,0
3,2026-05-29 11:32:53.528453,2026/05/29 11:32:53.600,3,NVIDIA A100-SXM-64GB,62.43,0,0
4,2026-05-29 11:32:58.652151,2026/05/29 11:32:58.692,0,NVIDIA A100-SXM-64GB,64.52,0,0
5,2026-05-29 11:32:58.652151,2026/05/29 11:32:58.697,1,NVIDIA A100-SXM-64GB,60.70,0,0
6,2026-05-29 11:32:58.652151,2026/05/29 11:32:58.700,2,NVIDIA A100-SXM-64GB,60.10,0,0
7,2026-05-29 11:32:58.652151,2026/05/29 11:32:58.702,3,NVIDIA A100-SXM-64GB,62.43,0,0
8,2026-05-29 11:33:03.715937,2026/05/29 11:33:03.756,0,NVIDIA A100-SXM-64GB,64.59,0,0
9,2026-05-29 11:33:03.715937,2026/05/29 11:33:03.758,1,NVIDIA A100-SXM-64GB,60.76,0,0
10,2026-05-29 11:33:03.715937,2026/05/29 11:33:03.761,2,NVIDIA A100-SXM-64GB,60.16,0,0
11,2026-05-29 11:33:03.715937,2026/05/29 11:33:03.763,3,NVIDIA A100-SXM-64GB,62.17,0,0
12,2026-05-29 11:33:08.771950,2026/05/29 11:33:08.812,0,NVIDIA A100-SXM-64GB,64.52,0,0
13,2026-05-29 11:33:08.771950,2026/05/29 11:33:08.815,1,NVIDIA A100-SXM-64GB,60.70,0,0
14,2026-05-29 11:33:08.771950,2026/05/29 11:33:08.822,2,NVIDIA A100-SXM-64GB,60.10,0,0
15,2026-05-29 11:33:08.771950,2026/05/29 11:33:08.824,3,NVIDIA A100-SXM-64GB,62.43,0,0
16,2026-05-29 11:33:13.833017,2026/05/29 11:33:13.873,0,NVIDIA A100-SXM-64GB,64.52,0,0
17,2026-05-29 11:33:13.833017,2026/05/29 11:33:13.876,1,NVIDIA A100-SXM-64GB,60.64,0,0
18,2026-05-29 11:33:13.833017,2026/05/29 11:33:13.878,2,NVIDIA A100-SXM-64GB,60.10,0,0
19,2026-05-29 11:33:13.833017,2026/05/29 11:33:13.882,3,NVIDIA A100-SXM-64GB,62.43,0,0
20,2026-05-29 11:33:18.890640,2026/05/29 11:33:18.930,0,NVIDIA A100-SXM-64GB,64.52,0,0
21,2026-05-29 11:33:18.890640,2026/05/29 11:33:18.933,1,NVIDIA A100-SXM-64GB,60.70,0,0
22,2026-05-29 11:33:18.890640,2026/05/29 11:33:18.935,2,NVIDIA A100-SXM-64GB,60.10,0,0
23,2026-05-29 11:33:18.890640,2026/05/29 11:33:18.938,3,NVIDIA A100-SXM-64GB,62.43,0,0
24,2026-05-29 11:33:23.945691,2026/05/29 11:33:23.997,0,NVIDIA A100-SXM-64GB,64.52,0,0
25,2026-05-29 11:33:23.945691,2026/05/29 11:33:24.000,1,NVIDIA A100-SXM-64GB,61.03,0,0
26,2026-05-29 11:33:23.945691,2026/05/29 11:33:24.002,2,NVIDIA A100-SXM-64GB,60.37,0,0
27,2026-05-29 11:33:23.945691,2026/05/29 11:33:24.008,3,NVIDIA A100-SXM-64GB,62.43,0,0
28,2026-05-29 11:33:29.019414,2026/05/29 11:33:29.058,0,NVIDIA A100-SXM-64GB,64.52,0,0
29,2026-05-29 11:33:29.019414,2026/05/29 11:33:29.061,1,NVIDIA A100-SXM-64GB,60.64,0,0
30,2026-05-29 11:33:29.019414,2026/05/29 11:33:29.063,2,NVIDIA A100-SXM-64GB,60.37,0,0
31,2026-05-29 11:33:29.019414,2026/05/29 11:33:29.066,3,NVIDIA A100-SXM-64GB,62.43,0,0
32,2026-05-29 11:33:34.075921,2026/05/29 11:33:34.116,0,NVIDIA A100-SXM-64GB,64.46,0,0
33,2026-05-29 11:33:34.075921,2026/05/29 11:33:34.119,1,NVIDIA A100-SXM-64GB,60.64,0,0
34,2026-05-29 11:33:34.075921,2026/05/29 11:33:34.121,2,NVIDIA A100-SXM-64GB,60.10,0,0
35,2026-05-29 11:33:34.075921,2026/05/29 11:33:34.124,3,NVIDIA A100-SXM-64GB,62.43,0,0
36,2026-05-29 11:33:39.132829,2026/05/29 11:33:39.172,0,NVIDIA A100-SXM-64GB,64.52,0,0
37,2026-05-29 11:33:39.132829,2026/05/29 11:33:39.175,1,NVIDIA A100-SXM-64GB,60.70,0,0
38,2026-05-29 11:33:39.132829,2026/05/29 11:33:39.177,2,NVIDIA A100-SXM-64GB,60.37,0,0
39,2026-05-29 11:33:39.132829,2026/05/29 11:33:39.180,3,NVIDIA A100-SXM-64GB,62.43,0,0
40,2026-05-29 11:33:44.187582,2026/05/29 11:33:44.227,0,NVIDIA A100-SXM-64GB,64.52,0,0
41,2026-05-29 11:33:44.187582,2026/05/29 11:33:44.233,1,NVIDIA A100-SXM-64GB,60.97,0,0
42,2026-05-29 11:33:44.187582,2026/05/29 11:33:44.235,2,NVIDIA A100-SXM-64GB,60.10,0,0
43,2026-05-29 11:33:44.187582,2026/05/29 11:33:44.238,3,NVIDIA A100-SXM-64GB,62.43,0,0
44,2026-05-29 11:33:49.246225,2026/05/29 11:33:49.286,0,NVIDIA A100-SXM-64GB,64.46,0,0
45,2026-05-29 11:33:49.246225,2026/05/29 11:33:49.292,1,NVIDIA A100-SXM-64GB,60.97,0,0
46,2026-05-29 11:33:49.246225,2026/05/29 11:33:49.295,2,NVIDIA A100-SXM-64GB,60.37,0,0
47,2026-05-29 11:33:49.246225,2026/05/29 11:33:49.298,3,NVIDIA A100-SXM-64GB,62.43,0,0
48,2026-05-29 11:33:54.305660,2026/05/29 11:33:54.345,0,NVIDIA A100-SXM-64GB,64.46,0,0
49,2026-05-29 11:33:54.305660,2026/05/29 11:33:54.348,1,NVIDIA A100-SXM-64GB,60.97,0,0
50,2026-05-29 11:33:54.305660,2026/05/29 11:33:54.351,2,NVIDIA A100-SXM-64GB,60.31,0,0
51,2026-05-29 11:33:54.305660,2026/05/29 11:33:54.357,3,NVIDIA A100-SXM-64GB,62.37,0,0
52,2026-05-29 11:33:59.367894,2026/05/29 11:33:59.427,0,NVIDIA A100-SXM-64GB,64.52,0,0
53,2026-05-29 11:33:59.367894,2026/05/29 11:33:59.431,1,NVIDIA A100-SXM-64GB,60.64,0,0
54,2026-05-29 11:33:59.367894,2026/05/29 11:33:59.434,2,NVIDIA A100-SXM-64GB,60.37,0,0
55,2026-05-29 11:33:59.367894,2026/05/29 11:33:59.436,3,NVIDIA A100-SXM-64GB,62.43,0,0
56,2026-05-29 11:34:04.452055,2026/05/29 11:34:04.493,0,NVIDIA A100-SXM-64GB,64.52,0,0
57,2026-05-29 11:34:04.452055,2026/05/29 11:34:04.496,1,NVIDIA A100-SXM-64GB,60.70,0,0
58,2026-05-29 11:34:04.452055,2026/05/29 11:34:04.499,2,NVIDIA A100-SXM-64GB,60.37,0,0
59,2026-05-29 11:34:04.452055,2026/05/29 11:34:04.505,3,NVIDIA A100-SXM-64GB,62.43,0,0
